Area,clusters
Afghanistan,3
Albania,1
Algeria,2
Angola,3
Antigua and Barbuda,4
Argentina,1
Armenia,2
Australia,1
Austria,1
Azerbaijan,2
Bahamas,4
Bangladesh,4
Barbados,2
Belarus,2
Belgium,1
Belize,4
Benin,4
Bolivia (Plurinational State of),4
Bosnia and Herzegovina,2
Botswana,4
Brazil,2
Bulgaria,2
Burkina Faso,2
Burundi,3
C?te d'Ivoire,4
Cabo Verde,4
Cambodia,4
Cameroon,4
Canada,1
Central African Republic,4
Chad,4
Chile,2
China,4
Colombia,2
Comoros,3
Congo,4
Costa Rica,2
Croatia,2
Cuba,2
Cyprus,2
Czechia,2
Democratic People's Republic of Korea,3
Democratic Republic of the Congo,3
Denmark,1
Djibouti,4
Dominica,2
Dominican Republic,2
Ecuador,4
Egypt,2
El Salvador,4
Estonia,1
Eswatini,4
Ethiopia,4
Fiji,2
Finland,1
France,1
French Polynesia,2
Gabon,2
Gambia,4
Georgia,4
Germany,1
Ghana,4
Greece,1
Grenada,4
Guatemala,4
Guinea,4
Guinea-Bissau,3
Guyana,2
Haiti,3
Honduras,4
Hungary,2
Iceland,1
India,5
Indonesia,4
Iran (Islamic Republic of),2
Iraq,4
Ireland,1
Israel,1
Italy,1
Jamaica,2
Japan,2
Jordan,4
Kazakhstan,1
Kenya,3
Kiribati,2
Kuwait,1
Kyrgyzstan,2
Lao People's Democratic Republic,4
Latvia,2
Lebanon,4
Lesotho,3
Liberia,3
Libya,2
Lithuania,1
Luxembourg,1
Madagascar,3
Malawi,4
Malaysia,2
Maldives,4
Mali,2
Malta,1
Mauritania,2
Mauritius,2
Mexico,2
Mongolia,2
Montenegro,1
Morocco,2
Mozambique,3
Myanmar,2
Namibia,4
Nepal,4
Netherlands,1
New Caledonia,2
New Zealand,2
Nicaragua,4
Niger,2
Nigeria,4
North Macedonia,2
Norway,1
Oman,2
Pakistan,4
Panama,2
Papua New Guinea,4
Paraguay,4
Peru,2
Philippines,4
Poland,1
Portugal,1
Republic of Korea,1
Republic of Moldova,4
Romania,1
Russian Federation,1
Rwanda,3
Saint Kitts and Nevis,4
Saint Lucia,2
Saint Vincent and the Grenadines,2
Samoa,2
Sao Tome and Principe,3
Saudi Arabia,2
Senegal,4
Serbia,2
Seychelles,2
Sierra Leone,3
Slovakia,2
Slovenia,2
Solomon Islands,3
South Africa,2
Spain,1
Sri Lanka,4
Sudan,4
Suriname,4
Sweden,1
Switzerland,1
Syrian Arab Republic,4
Tajikistan,4
Thailand,4
Timor-Leste,3
Togo,3
Trinidad and Tobago,2
Tunisia,2
Turkey,2
Turkmenistan,2
Uganda,3
Ukraine,2
United Kingdom of Great Britain and Northern Ireland,1
United Republic of Tanzania,4
United States of America,1
Uruguay,2
Uzbekistan,2
Vanuatu,4
Venezuela (Bolivarian Republic of),4
Viet Nam,2
Yemen,3
Zambia,3
Zimbabwe,3
